Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
CSL Behring / SAb Biotherapeutics,Treatment,Antibodies,Pre-clinical,Phase I starts early summer 2020; Dosing to start August 2020  ,"SAB-185, Polyclonal hyperimmune globulin (H-IG)","NCT04468958, NCT04469179",Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Defense,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
CSL Behring Australia,Treatment,Antibodies,Pre-clinical,Phase I/II trials began June 2020; recruitment began Aug 2020,"COVID-19 Immunoglobulin, plasma derived
",NCT04548557,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/27/2020
Amgen/ Adaptive Biotechnologies,Treatment,Antibodies,Pre-clinical,Phase I trial expected to start ~October 2020,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/17/2020
InflaRx N.V.,Treatment,Antibodies,Clinical,Phase III trial to begin fall 2020; Phase II topline results reported June 2020,"IFX-1, anti-C5a antibody","NCT04333420, EudraCT 2020-001335-28",Unknown,inflaRx (https://www.inflarx.de/Home/Investors/Press-Releases/06-2020-InflaRx-Reports-Encouraging-Topline-Results-from-the-Exploratory-Phase-II-Part-of-the-Adaptive-Randomized-Phase-II-III-Trial-of-IFX-1-in-COVID-19.html),"To treat various inflammatory conditions including hidradenitis suppurativa, ANCA-associated vasculitis, and pyoderma gangraenosum",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
"Multiple global research sponsors, including: New York State Department of Health; Johns Hopkins University; the Feinstein Institutes; RECOVERY trial",Treatment,Antibodies,Clinical,"Mayo Clinic and Houston Methodist trial results published June 2020, other trials ongoing; FDA issued Emergency Use Authorization on Aug 23, 2020",Convalescent plasma (blood plasma from recovered patients),"Many expanded access, observational, patient registry, plasma collection, prevention, and other studies listed in clinicaltrials.gov, including: NCT04321421, NCT04292340, NCT04316728, NCT04338360, NCT04345289, NCT04349410, NCT04346589, NCT04333251, NCT04361253, NCT04323800, NCT04359810, NCT04362176, NCT04354831, NCT04360486, NCT04321421, NCT04441424, NCT04460547, NCT04381936 (RECOVERY), EudraCT 2020-001310-38, ISRCTN67000769 (REMAP-CAP), EudraCT 2015-002340-14 (REMAP-CAP), NCT02735707 (MJM Bonten), NCT04467151, NCT04442191, NCT04456413, NCT04438057, NCT04377568, NCT04418518, NCT04408040, NCT04397757, NCT04390503, NCT04385199, NCT04421404, NCT04364737, NCT04344535, NCT04355767, NCT04373460, NCT04377672, NCT04528368, NCT04497324","Bloomberg Philantropies and the State of Maryland (to Johns Hopkins University)/ Biomedical Advanced Research and Development Authority (BARDA) (to Mayo Clinic), Department of Defense (DoD)","medRxiv (https://doi.org/10.1101/2020.03.16.20036145), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2763983), medRxiv (https://doi.org/10.1101/2020.04.07.20056440), JAMA Network (https://jamanetwork.com/journals/jama/fullarticle/2763982), medRxiv (https://doi.org/10.1101/2020.05.08.20095471), medRxiv (https://doi.org/10.1101/2020.05.12.20099879), Amer J Pathology (https://ajp.amjpathol.org/article/S0002-9440(20)30257-1/fulltext), medRxiv (https://doi.org/10.1101/2020.05.20.20102236), JAMA (https://jamanetwork.com/journals/jama/article-abstract/2766943), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2766940), (https://ctmirror.org/2020/05/17/cautious-enthusiasm-for-plasma-treatment-in-covid-19-cases/), (https://www.wbtv.com/2020/06/11/novant-health-physicians-say-convalescent-plasma-therapy-is-showing-promising-results-covid-fight/), medRxiv (https://doi.org/10.1101/2020.06.05.20122820), medRxiv (https://doi.org/10.1101/2020.05.26.20113373), medRxiv (https://doi.org/10.1101/2020.05.21.20109512), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), medRxiv (https://doi.org/10.1101/2020.06.19.20135830), medRxiv (https://doi.org/10.1101/2020.06.21.20132944), Mayo Clinic Proceedings (https://mayoclinicproceedings.org/pb/assets/raw/Health%20Advance/journals/jmcp/jmcp_ft95_6_8.pdf), medRxiv (https://doi.org/10.1101/2020.06.24.20121905), medRxiv (https://doi.org/10.1101/2020.07.20.20156398), medRxiv (https://doi.org/10.1101/2020.07.14.20144469), medRxiv (https://doi.org/10.1101/2020.07.01.20139857), medRxiv (doi: https://doi.org/10.1101/2020.09.03.20187252), BMJ (https://www.bmj.com/content/371/bmj.m3939)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/27/2020
Cerecor,Treatment,Antibodies,Clinical,"Phase II recruiting July 2020, top line data expected 4Q 2020","CERC-002, anti-LIGHT monoclonal antibody",NCT04412057,Unknown,mSphere (https://msphere.asm.org/content/5/4/e00699-20),Pediatric Crohn's Disease,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Celltrion/ University of Oxford/ University Hospitals Birmingham (CATALYST trial),Treatment,Antibodies,Clinical,Phase II trial to start in June 2020,"Remsima (infliximab), anti-TNF antibody",NCT04425538,Unknown,,,"FDA-approved since 2016, approved to treat various autoimmune diseases",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/13/2020
Tychan/ SingHealth Investigational Medicine Unit,Treatment,Antibodies,Clinical,Phase I started June 2020; efficacy data expected 3Q 2020,"TY027, monoclonal antibody targeting SARS-CoV-2","NCT04429529, NCT04649515",,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/3/2020
IGY Life Sciences/ MMS Holdings/ Canadian Government National Microbiology Lab,Treatment,Antibodies,Pre-clinical,,"IgY-110, anti-CoV-2 antibody (nasal spary application)",,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
"Alliance - Proteona/ NMI/ NUS Enterprise/10X Genomics/ NovogeneAIT/ Twist Bioscience/ University Hospitals/ German Cancer Research Center, Heidelberg University Hospital/ Tübingen University Hospital/ NovogeneAIT",Treatment,Antibodies,Pre-clinical,,Antibody for immunocompromised patients,,,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/20/2020
Virna Therapeutics/ University of Toronto,Treatment,Antibodies,Pre-clinical,,Neutralizing antibodies,,,medRxiv (https://www.biorxiv.org/content/10.1101/2020.06.05.137349v2.full.pdf),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/9/2020
Kiniksa/ Cleveland Clinic/ Ospedale San Raffaele,Treatment,Antibodies,Clinical,Phase II trial recruiting June 2020; Case reports published June 2020,"mavrilimumab, anti-granulocyte-macrophase colony-stimunlating factor receptor-alpha monoclonal antibody","NCT04399980, NCT04397497, NCT04447469, NCT04463004",,Lancet (https://doi.org/10.1016/S2665-9913(20)30170-3),Giant cell arteritis (GCA); rheumatoid arthritis; large B-cell lymphoma (with Yescarta),N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/11/2020
Staidson/ Pivotal,Treatment,Antibodies,Clinical,Phase II/III trials began Jul 2020,"BDB-001, monocloncal anti-C5a antibody","EudraCT 2020-001671-32, NCT04449588",Unknown,The Lancet (DOI:https://doi.org/10.1016/S2665-9913(20)30341-6),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
Tiziana Life Sciences,Treatment,Antibodies,Pre-clinical,Plan to initiate Phase I in Q1 2021,"TZLS-501, an anti-interleukin-6 receptor monoclonal antibody (inhalation technology in development-Foralumab anti-CD3 monoclonal antibody)",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/18/2020
BioCon/Equilium ,Treatment,Antibodies,Clinical,Phase II open label trial began July 2020; FDA IND cleared for Phase III trial (EQUINOX) Phase 3will not be initiated at this time Nov 2020.,"itolizumab, anti-CD6 IgG1 monoclonal antibody",NCT04475588,Unknown,,Graft versus host disease; Lupus nephritis; Plaque psoriasis,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/25/2020
GC Pharma/ Korea National Institute of Health,Treatment,Antibodies,Pre-clinical,Phase II/III to start in July 2020,"GC5131A, plasma derived therapy",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/7/2020
Cologne University Hospital/ German Center for Infection Research/ Boehringer Ingelheim,Treatment,Antibodies,Pre-clinical,Clinical trials to start in 2020,Antibodies from recovered COVID-19 patients,,Unknown,mBio (https://mbio.asm.org/content/11/5/e02590-20),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/21/2020
Rosalind Franklin Institute/ Oxford University/ Diamond Light Source/ Public Health England,Treatment,Antibodies,Pre-clinical,Unknown,Nanobodies from Llamas,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
Adagio Therapeutics,Treatment,Antibodies,Pre-clinical,Phase 1 trial expected to start by early 2021,Antibodies binding to a piece of the spike protein found on multiple coronaviruses including SARS-CoV-2,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/24/2020
Fab'entech,Treatment,Antibodies,Pre-clinical,Expected to begin Phase I/II trials in early 2021,Polyclonal antibodies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
Columbia University Irving Medical Center; IAVI and Serum  Research Institute India,Treatment,Antibodies,Pre-clinical,Recruiting Dec 2020.,Mix of neutralizing antibodies isolated from recovered COVID-19 patients,NCT04606407,Unknown,Nature (https://www.nature.com/articles/s41586-020-2852-1),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/4/2020
Eli Lilly/ Sanford Burnham Prebys Medical Discovery Institute,Treatment,Antibodies,Pre-clinical,Unknown,Neutralizing antibodies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/27/2020
"Various global research sponsors/ Grifols/ Emergent BioSolutions, CSL Behring and Takeda",Treatment,Antibodies,Clinical,Phase II trial recruiting July 2020; Phase III trials began Oct 2020 (ITAC Trial),"Prolastin, alpha-1 anti-trypsin antibody","EudraCT  2020-001391-15, NCT04385836, NCT04495101, NCT04547140","National Institute of Allergy and Infectious Diseases (NIAID), part of the U.S. National Institutes of Health (NIH)",,,"FDA approved since at least 2005, approved for chronic replacement therapy of individuals having congenital deficiency of alpha-antitrypsin deficinecy with emphysema",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
Immunome,Treatment,Antibodies,Pre-clinical,Unknown,Novel biosynthetic convalescent plasma (BCP),,Department of Defense (DoD),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/6/2020
"SCORE consortium (universities of Aix-Marseille, Leuven, Utrecht, Bern, and Lubeck), the Helmholtz Centre for Infection Research, and Janssen Pharmaceutica NV",Treatment,Antivirals,Pre-clinical,Unknown,Antiviral drug combinations,,EU Commission (Horizon 2020 Program),,,Unknown,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Beech Tree Labs
",Treatment,Antivirals,Clinical,"FDA cleared trial July 2020, trial to start July/Aug 2020 with results available Fall 2020; Has been used in 36 patients anecdotally; Phase II trial started August 2020","BTL-tml
",NCT04522830,Unknown,,"Treatment of herpes virus infections
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
BioCryst Pharmaceuticals,Treatment,Antivirals,Clinical,Phase Ib recruiting May 2020,galidesivir,NCT03891420,National Institute of Allergy and Infectious Diseases (NIAID),,Treatment of yellow fever,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
Acer Therapeutics / US National Center for Advancing Translational Sciences (NCATS),Treatment,Antivirals,Clinical,Phase II/III to start in Q3 2020,"emetine hydrochloride
",,Unknown,,"To treat viral hepatitis and varicella-virus
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
Ansun Biopharma/ Renmin Hospital of Wuhan University,Treatment,Antivirals,Clinical,Individual patient expanded access finding released in May 2020; Phase II/III started enrolling in May 2020,"DAS181, recombinant sialidase (nebulized)
","NCT03808922, NCT04354389, NCT04298060, NCT04324489, NCT04460547",Unknown,PR Newswire (https://www.prnewswire.com/news-releases/ansun-biopharma-announces-positive-results-from-investigator-initiated-trial-of-novel-covid-19-treatment-301033871.html),Treatment of lower respiratory tract parainfluenza virus infections and severe influenza infections,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/4/2020
"Fujifilm Toyama Chemical/ Zhejiang Hisun Pharmaceuticals/ numerous trials with global research sponsors/ Brigham and Women's Hospital, Massachusetts General Hospital, and the University of Massachusetts Medical School/ Glenmark Pharmaceuticals",Treatment,Antivirals,Clinical,Fuijfilm trial initial results released July 2020; Glenmark Phase III trial in India top-line results released July 2020 (Glenmark),"Favilavir/ Favipiravir/ T-705/ Avigan, licensed in Japan to treat influenza","NCT04303299, NCT04310228, ChiCTR2000029548, ChiCTR2000029496, ChiCTR2000029544, ChiCTR2000030254, NCT04336904, NCT04333589, NCT04345419, EudraCT 2020-001435-27, NCT04356495, NCT04425460, NCT04373733, EudraCT 2020-001449-38, EudraCT 2020-001528-32, EudraCT 2020-001904-41, NCT04468087, NCT04376814, NCT04411433, NCT04445467, NCT04402203, NCT04392973, NCT04349241, NCT04346628, NCT04448119, NCT04475991, NCT04358549, NCT04434248, NCT04359615, NCT04464408, NCT04387760, NCT04474457, NCT04351295, EudraCT Number: 2020-002106-68,  NCT04529499, NCT04558463",Life Arc (FLARE trial; PIONEER trial),"medRxiv (https://doi.org/10.1101/2020.03.17.20037432), medRxiv (https://doi.org/10.1101/2020.04.21.20066761), Kyodo News (https://english.kyodonews.net/news/2020/05/fce701d4d88d-antiflu-avigan-not-showing-apparent-efficacy-in-coronavirus-treatment.html), Critical Care (https://doi.org/10.1186/s13054-020-03078-z), (https://asia.nikkei.com/Business/Pharmaceuticals/Fujifilm-s-Avigan-inconclusive-as-COVID-19-treatment-in-Japan-trial), Glenmark (http://www.glenmarkpharma.com/sites/default/files/Glenmark-Announces-Top-Line-Results-From-Phase-3%20-Clinical.pdf), medRxiv (https://doi.org/10.1101/2020.06.24.20133249), PNAS (https://doi.org/10.1073/pnas.2014441117)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/13/2020
ViralClear Pharmaceuticals,Treatment,Antivirals,Pre-clinical,Unknown,"Vicromax, broad spectrum antiviral",,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/6/2020
ISR Immune System Regulation,Treatment,Antivirals,Pre-clinical,Unknown,ISR-50,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Bukwang Pharm,Treatment,Antivirals,Clinical,Phase II trial not yet recruiting,Levovir (clevudine),NCT04347915,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Agastiya Biotech,Treatment,Antivirals,Pre-clinical,Phase I to start in 2020,AB001,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
Cocrystal Pharma,Treatment,Antivirals,Pre-clinical,Unknown,Antiviral compounds,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
Ridgeback Biotherapeutics / Drug Innovation Ventures at Emory (DRIVE)/ Merck,Treatment,Antivirals,Clinical,Phase II trial started June 2020,"EIDD-2801, oral ribonucleoside analog","NCT04405739, NCT04405570, NCT04392219",Unknown,Nature (https://www.nature.com/articles/s41564-020-00835-2),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
Ascletis/ Chinese research sponsors,Treatment,Antivirals,Clinical,Phase III trial recruiting May 2020,"ASC09, HIV protease inhibitor","NCT04261907

NCT04261270",Unknown,,Treatment of HIV/AIDS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/6/2020
Roche; REMAP-CAP global trial,Treatment,Antivirals,Clinical,"REMAP-CAP trial recruiting May 2020
","Tamiflu (oseltamivir), neuraminidase inhibitor","NCT04303299, NCT04255017, NCT04261270, NCT02735707, NCT04338698, NCT04371601, EudraCT 2015-002340-14 (REMAP-CAP), NCT04457609",Unknown,"medRxiv (https://doi.org/10.1101/2020.03.28.20045955)       

medRxiv (https://doi.org/10.1101/2020.04.11.20056523)",,"FDA-approved since 1999, approved to treat and prevent influenza",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
"Plan Nacional sobre el Sida
",Treatment,Antivirals,Clinical,Phase III trial recruiting May 2020,"Truvada (emtricitabine and tenofovir, both HIV-1 nucleoside analog reverse transcriptase inhibitors)","ChiCTR2000029468, NCT04334928, NCT04405271",Unknown,Annals of Internal Med (https://doi.org/10.7326/M20-3689),,FDA-approved since 2004; approved to treat and prevent HIV-1 infection,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/4/2020
Bausch Health,Treatment,Antivirals,Clinical,Phase II recruiting May 2020; Individual patient expanded access,Virazole (ribavirin for inhalation solution),"NCT04356677, NCT04460443, NCT04392427, NCT04276688, NCT04551768",Unknown,,,"FDA-approved since 1985, approved to treat lower respiratory tract infections due to RSV",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/30/2020
Atea Pharmaceuticals/ Roche,Treatment,Antivirals,Clinical,Phase II trial to start May 2020,"AT-527, oral purine nucleotide prodrug",NCT04396106,Unknown,,Treatment of Hepatitis C infections,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/28/2020
Ascletis / Chinese research sponsors,Treatment,Antivirals,Clinical,Small open label trial completed and results released in March 2020; Larger open label trial recruiting May 2020,"Ganovo (danoprevir), hepatitis C virus NS3 protease inhibitor; ritonavir; interferon, approved in China to treat Hepatitis C","NCT04291729

NCT04345276",Unknown,medRxiv (https://doi.org/10.1101/2020.03.22.20034041),"Treatment of Hepatitis C
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/7/2020
Cidara Therapeutics,Treatment,Antivirals,Pre-clinical,Unknown,antiviral Fc conjugates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Gilead; World Health Organization SOLIDARITY trial; National Institute of Allergy and Infectious Diseases (NIAID)'s Adaptive COVID-19 Treatment Trial; Feinstein Institutes; I-SPY COVID,Treatment,Antivirals,Clinical,"Gilead releases additional data Phase III trial on July 10, 2020; Gilead's Phase Ia trial of inhalant version started July 2020; EU grants conditional authorization July 3, 2020; Gilead starting Phase II/III trial in pediatric patients in June 2020; FDA issued an Emergency Use Authorization on May 1, 2020; Expanded EUA access Aug 2020, Phase I trial in pregnant & non-pregnant women Oct 2020; Phase II Trials Remdesivir + Lenzilumab Oct 2020; ; ACTV-1 IM adaptive remdesivir trial begins Oct 2020","remdesivir, nucleotide analog","NCT04257656, NCT04252664, NCT04292730, NCT04292899, NCT04280705, EudraCT 2020-000936-23, NCT04315948, NCT04302766, NCT04323761, NCT04349410, NCT04401579, EudraCT 2020-001052-18, ISRCTN83971151 (Solidarity), EudraCT 2020-001366-11 (Solidarity Spain), EudraCT 2020-000982-18 (Norway Solidarity), EudraCT 2020-001784-88 (Finland Solidarity), EudraCT 2020-001549-38 (Solidarity Germany), NCT04330690, NCT04431453, NCT04409262, NCT04321616, EudraCT 2020-001448-24, NCT04365764, NCT04410354, NCT04365725, NCT04480333 (inhaled remdesevir + neurosivir), NCT04488081, EudraCT 2020-000841-15, EudraCT 2020-001453-49, EudraCT 2020-000842-32, EudraCT 2020-001803-17, EudraCT 2020-002060-31, NCT04501978, NCT04582266, NCT04583969, NCT04583956",Unknown,"NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2007016), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2001191), Stat News (https://www.statnews.com/2020/04/16/early-peek-at-data-on-gilead-coronavirus-drug-suggests-patients-are-responding-to-treatment/), Reuters (https://www.reuters.com/article/us-health-coronavirus-gilead-sciences/gilead-disputes-report-that-coronavirus-drug-trial-flopped-idUSKCN225326), Stat (https://www.statnews.com/2020/04/23/data-on-gileads-remdesivir-released-by-accident-show-no-benefit-for-coronavirus-patients/), medRxiv (https://doi.org/10.1101/2020.04.21.20066761), Gilead (https://www.businesswire.com/news/home/20200429005424/en/Gilead-Announces-Results-Phase-3-Trial-Investigational), NIAID (https://www.niaid.nih.gov/news-events/nih-clinical-trial-shows-remdesivir-accelerates-recovery-advanced-covid-19?utm_campaign=+42538088&utm_content=&utm_medium=email&utm_source=govdelivery&utm_term=), Lancet (https://doi.org/10.1016/S0140-6736(20)31022-9), medRxiv (https://doi.org/10.1101/2020.05.02.20088559), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2007764?query=featured_home), Gilead (https://www.gilead.com/news-and-press/press-room/press-releases/2020/6/gilead-announces-results-from-phase-3-trial-of-remdesivir-in-patients-with-moderate-covid-19), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2007016), medRxiv (https://doi.org/10.1101/2020.05.17.20104711), medRxiv (https://doi.org/10.1101/2020.06.03.20121558), medRxiv (https://doi.org/10.1101/2020.05.26.20109595), medRxiv (https://doi.org/10.1101/2020.05.23.20110932), medRxiv (https://doi.org/10.1101/2020.06.15.20131227), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), medRxiv (https://doi.org/10.1101/2020.06.22.20136531), Gilead (https://www.gilead.com/news-and-press/press-room/press-releases/2020/7/gilead-presents-additional-data-on-investigational-antiviral-remdesivir-for-the-treatment-of-covid-19), medRxiv (https://doi.org/10.1101/2020.07.22.20160002), JAMA (https://jamanetwork.com/journals/jama/fullarticle/2769871?resultClick=24), medRxiv (https://www.medrxiv.org/content/10.1101/2020.10.15.20209817v1.full.pdf), medRxiv (doi: https://doi.org/10.1101/2020.10.30.20215301)",Treatment of Ebola,FDA Approved Oct 2020 to treat COVID-19 (Vekruly),https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
